"Qty";"Value";"Device";"Package";"Parts";"Description";"DESIGNER";"DIGIKEY";"DISP";"MF";"MPN";"PROD_ID";"PROJECT";"REV";"VALUE";"VALUE_PART";
"1";"";"FRAME_A_L";"CREATIVE_COMMONS";"FRAME1";"FRAME A Size , 8 1/2 x 11 INCH, Landscape";"Bobby Schulz";"";"";"";"";"";"TP-Downhole";"v0.1";"";"";
"2";"";"R-EU_100R0402";"R0402";"R6, R7";"RESISTOR, European symbol";"";"311-100LRCT-ND";"";"Yageo";"RC0402FR-07100RL";"";"";"";"";"100";
"6";"";"SMD1,0";"SMD1,0-2,54";"PAD1, PAD2, PAD3, PAD4, PAD5, PAD6";"";"";"";"";"";"";"";"";"";"";"";
"4";"";"SMD2";"SMD1,27-2,54";"PAD7, PAD8, PAD9, PAD10";"SMD PAD";"";"";"";"";"";"";"";"";"";"";
"4";"0.1uF";"C-EU0.1UFC0402";"C0402";"C1, C4, C6, C7";"CAPACITOR, European symbol";"";"490-4759-1-ND";"";"Murata";"GCM155R71C104KA55D";"";"";"";"";"";
"1";"10k";"R-EU_10KR0402";"R0402";"R5";"RESISTOR, European symbol";"";"311-10KJRCT-ND";"";"Yageo";"RC0402JR-0710KL";"";"";"";"";"10k";
"1";"10k";"R-EU_P10KR0603";"R0603";"RREF";"RESISTOR, European symbol";"";"P10KDBCT-ND";"";"Panasonic";"ERA-3AEB103V";"";"";"";"";"10k";
"1";"10k";"THERMISTOR10K";"R0603";"THERM";"Thermistor";"";"490-16279-1-ND";"";"Murata";"NCU18XH103F60RB";"";"";"";"";"";
"1";"1uF";"C-EU1UFC0603";"C0603";"C5";"CAPACITOR, European symbol";"";"490-10479-1-ND";"";"Murata";"GRM188R61C105KA12D";"";"";"";"";"";
"2";"3k";"R-EU_4.7KR0402";"R0402";"R1, R2";"RESISTOR, European symbol";"";"311-4.7KJRCT-ND";"";"Yageo";"RC0402JR-074K7L";"";"";"";"";"4.7k";
"1";"ATTINY441/841841";"ATTINY441/841841";"SOIC_14";"U$4";"ATTINY441, ATTINY841 8 bit MCU, 4/8k flash, 256/512B SRAM";"";"ATTINY841-SSU-ND";"";"Atmel";"ATTINY841-SSU";"";"";"";"";"";
"1";"DMG3404";"MOSFET-NCH-DMG3404L";"SOT23-3";"Q2";"N-channel MOSFETs";"";"DMG3404L-7DICT-ND";"";"Diodes Incorporated";"DMG3404L-7";"";"";"";"DMG3404";"";
"1";"JUMPER-SMT_3_1-NC_PASTE_SILK";"JUMPER-SMT_3_1-NC_PASTE_SILK";"SMT-JUMPER_3_1-NC_PASTE_SILK";"JP1";"Normally closed solder jumper (1 of 2 connections)";"";"";"";"";"";"";"";"";"";"";
"1";"MAX6070AAUT18";"MAX6070AAUT18";"SOT23-6L";"U$14";"MAX6070 Low Noise high precision voltage referance";"";"MAX6070BAUT18+TCT-ND";"";"Maxim";"MAX6070BAUT18+T";"";"";"";"";"";
"1";"MCP3421A3";"MCP3421A3";"SOT23-6L";"U$2";"MCP342* - Sigma Delta ADC";"";"MCP3421A3T-E/CHCT-ND";"MCP3421";"Microchip";"MCP3421A3T-E/CH";"";"";"";"";"";
"1";"MS5803-14BA";"MS5803-14BA";"MS5803";"U1";"";"";"223-1625-5-ND";"";"TE";"MS580305BA01-00";"IC-12111";"";"";"";"";
"8";"POGO_PAD";"POGO_PAD";"POGO_PAD";"U$3, U$6, U$7, U$8, U$9, U$10, U$11, U$12";"POGO Pad";"";"";"";"";"";"";"";"";"";"";
"1";"SN65HVD30";"SN65HVD30";"SO08";"U$5";"SN65HVD3x - Full Duplex RS-485 Tranciver";"";"296-19625-1-ND";"";"TI";"SN65HVD30DR";"";"";"";"";"";
"1";"TPS79733";"TPS79733";"DCK_R-PDSO-G5";"U$13";"TPS797* - Ultra Low Power Low Dropout Linear Regulator";"";"296-11990-1-ND";"";"TI";"TPS79733DCKR";"";"";"";"";"";
